text,label,notes
"Singer 2282 vs SM-024, which is better?",detailed_question,
"Janome 521, use it before oiling?",detailed_question,
"Gauzy mesh capelet, describes the attempt",detailed_question,
Dainty spaghetti-strap wrap top (with photo + detail),detailed_question,"Has photo but also written specifics, so detailed"
Identify a thrift machine (photo only),low_effort_question,"Photo-reliant machine-ID, no written detail"
"Fish-scale applique, specific sub-questions",detailed_question,
Add a circled piece to Tobi pants,detailed_question,
What's this gold piece called? (photo only),low_effort_question,Photo-reliant 'what's this?'
Pattern-maker accounts to learn from,detailed_question,
Mini iron with a 10cm plate for dolls,detailed_question,
Pattern like this top? (photo only),low_effort_question,Photo-reliant pattern-ID request
"Brother XM2701, beginner patterns and how to start",detailed_question,
"Lined bodice, does it need interfacing?",detailed_question,
How do I make fabric like this? (photo only),low_effort_question,"Photo-reliant, no written constraints"
"Vintage upgrade needs a belt, $55, thoughts?",detailed_question,
"Lost overlocker pedal, order off AliExpress?",detailed_question,
"Second-hand machines in NZ, already tried FB",detailed_question,
"Old Brother, tension won't change via the dial",detailed_question,
"Singer 9805c, back of the stitching is a mess",detailed_question,
"Low-back dress, creator used a shift pattern",detailed_question,
Childhood plushie torn at the embroidery,detailed_question,
"Cooler insert, has materials and dimensions",detailed_question,
ID this Good Housekeeping machine (photo only),low_effort_question,Photo-reliant machine-ID
Fabric for both lining and embroidery,detailed_question,
"Machine under $300, frills/lace, not computerized, near $200",detailed_question,
"FS40s with denim feasibility, space constraint, secondhand market issue",detailed_question,
"Modest patterns that aren't boring, bohemian/chic style described",detailed_question,
"Bandana from an old shirt, novice",low_effort_question,"Bare beginner ask, no specifics"
"Wedding bodice, corset, larger chest, full background",detailed_question,
"Deer-print fabric, budget concern, vague request",low_effort_question,Vague request despite a stated concern
"Thread a strap through a slider, leave a trail for flowers (photo + detail)",detailed_question,
"Janome HD3000 vs DC3050, current specs, prices, goals",detailed_question,
"Euro-Pro 440DX serger, no manual, threading order",detailed_question,
"Jata Genesis 695 pedal inconsistency, extremely detailed troubleshooting",detailed_question,
"Overlocker knife won't retract, followed the manual (photo)",detailed_question,
"Curved zipper feasibility, beginner, hand-drawn diagram",detailed_question,
"Swim brief patterns, first time at a machine, context given",detailed_question,
"Suspender loop repair, brand named, won't be seen (photo)",detailed_question,
"Thread loops when turning corners, settings shown (photo)",detailed_question,
"Thread bulging from the machine (photo), vague",low_effort_question,"Photo-dependent, little written context"
Singer C5650 walking foot compatibility,detailed_question,
"Video-style beginner patterns, has a sewing background",detailed_question,
"Brother JX17FE loose threads, troubleshooting tried",detailed_question,
ID two unknown presser feet (photo only),low_effort_question,Photo-reliant part-ID
"Applique stretchy gloves, materials and constraints, long detailed ask",detailed_question,
"Toile/muslin testing tips, what can I skip?",detailed_question,
"Repair ripped jeans seat, fabric thickness noted (photo)",detailed_question,
"Singer Harmonie 200, thread weight for a canvas bag, link given",detailed_question,
"Find a pattern for a shaped top (photo), vague",low_effort_question,"Photo-reliant pattern-ID, no written detail"
"Widen armholes without cutting, delicate fabric",detailed_question,
"Singer 5910 foot pedal stopped responding, troubleshooting done",detailed_question,
"Shorten a hemless skirt, can I just cut? (photo)",detailed_question,
"SL7553a industrial machine, no manual",detailed_question,
"PC6500 missing embroidery unit, compatibility question",detailed_question,
"Cheap machine for curtains, skill background given",detailed_question,
"ID fabric pattern for a 1:12 cloak (photo), vague",low_effort_question,"Photo-reliant, no written detail"
"Looking for a similar pattern (photo only), no detail",low_effort_question,Photo-reliant pattern-ID
"Gradient fabric, what should I make? vague",low_effort_question,Open-ended with no constraints
"Singer Heavy Duty skipping stitches, inherited",detailed_question,
"Sew fabric onto a leather jacket, feasibility",detailed_question,
"Fabric for lining and embroidery, breathable, natural fiber",detailed_question,
Find a cheaper alternative to $55/yd fabric (photo),detailed_question,
"Long-sleeve bell-sleeve jersey shirt, tips for jersey",detailed_question,
"Reversible quilt jacket, skipped stitches over bulk, needle size tried",detailed_question,
"Hand-sew a cat design onto a sweater, materials/starting point",detailed_question,
"Resizing a hoodie, budget constraint, two options weighed",detailed_question,
"Fabric width conversion math, beginner confusion explained",detailed_question,
"Gift book with sewing patterns, wants tips not just dress patterns",detailed_question,
"Hardware loosening on overalls, tried tightening",detailed_question,
"Convert a tee neckline style, machine specs, attempts described",detailed_question,
"UK sewing machine gift recommendation, budget, brand prefs",detailed_question,
"Copy a pattern from a video tutorial, no pattern source",low_effort_question,"No source or specifics, bare request"
"Overcast stitch on satin puckering, needle size tried",detailed_question,
"Combine sleeve/bodice pattern, link to a coat given",detailed_question,
"Hand-sew a bulky collar section, project described (photo)",detailed_question,
"Convert a muumuu to a robe, total beginner, no photo",low_effort_question,Beginner ask with no specifics or constraints
"Insulbrite and metal detectors, airport concern",detailed_question,
"Velvet sleeves/neckline finishing, prior cotton experience",detailed_question,
How do I practice sewing curves? beginner,low_effort_question,"General how-to, no project context"
What do people make with DBP besides leggings?,low_effort_question,"Open-ended, no specific goal"
"Fold/sew a legging waistband, fabric type and equipment given",detailed_question,
"Serger accessories for a beginner, Christmas gift to self",detailed_question,
"Discworld costume pattern, character described, fabric sourced",detailed_question,
"Oversized jumpsuit fit strategy, specific body areas named",detailed_question,
"Janome 4400 bird-nesting, settings given (stitch length, tension)",detailed_question,
"Knit sweater repair, link to photo, vague ask",low_effort_question,Vague despite a linked photo
"Recreate a skirt pattern, MS Paint diagram + link, specific shapes asked",detailed_question,
"Organic fabric wholesalers in Europe/Turkey, vague request",low_effort_question,"Broad sourcing ask, no specifics"
"Body shape described, what she wants to learn, asks for resources",detailed_question,
"Machine price, exact symptom (needle hits metal), what was tried",detailed_question,
"Twin needle ID, googled first, no luck",detailed_question,
"'Cut two' pattern terminology, genuine confusion",detailed_question,
"Named machine (Toyota STF39), walking foot search, what was tried",detailed_question,
"Fabric ID, link only, no context",low_effort_question,Link-only ID with no written detail
"Named pattern, collar/neck buckling problem, solution already considered",detailed_question,
"Nipple cover part ID, tried googling",detailed_question,
"Fabric type for a dress, link to image, beginner context",detailed_question,
"Hand stitch for trim, specific technique question, tried researching",detailed_question,
When do you use a walking foot? general/vague,low_effort_question,"General how-to, no project context"
"Detailed jacket-label scenario, what the tailor said, photos, specific confusion",detailed_question,
"Specific sale inquiry, checked the website first",detailed_question,
"Budget machine question, follow-up adds country context",detailed_question,
"Asks for a related sub, minimal context",low_effort_question,"Minimal context, off-task referral request"
"Bralette need explained (fit issue), fabric question, specific goal",detailed_question,
"Named vintage machine, specific fabric, exact symptom",detailed_question,
"Patch fabric for jeans, what was tried (iron-on only)",detailed_question,
"Specific suit, exact size difference given",detailed_question,
"Specific darts problem, fabric thickness described",detailed_question,
"Named pattern, specific next-step question",detailed_question,
"Fabric described, asks for button color opinions",detailed_question,
"Specific gaping problem, theory already proposed",detailed_question,
"No machine, wants to hand-sew, vague 'what's a good first project'",low_effort_question,"Open-ended beginner ask, no constraints"
"Detailed fraying scenario, what was tried, location given",detailed_question,
"Specific use case (oven mitts), no prior research shown",low_effort_question,Borderline: has a use case but no research or specifics
"Specific tag-placement problem, links to patterns",detailed_question,
"Detailed plushie-pattern extraction scenario, constraints explained",detailed_question,
"Specific hardware part, where to buy",detailed_question,
"Specific wrap-skirt gap problem, what was already tried",detailed_question,
"Stretch direction specified, stitch tried, exact result described",detailed_question,
"Named fabric, extensive troubleshooting already done",detailed_question,
"Specific bag type/fabric question, context given",detailed_question,
"Hand-sewing stitch consistency, general technique question",low_effort_question,"General technique, no project context"
What brand should I buy? no constraints given,low_effort_question,No budget/constraints/context
"Specific ask (sustainable, bamboo-like), notes own research gap",detailed_question,
"Specific fabric blend, exact symptom (pieces off by inches)",detailed_question,
"Specific technical question (interfacing vs pad stitching), follow-up scenario",detailed_question,
"Named pattern, clear goal for pockets",detailed_question,
"Named machine, brief symptom, minimal detail",low_effort_question,Borderline: named machine but symptom too thin
"Specific material substitution question, concern stated",detailed_question,
"Specific fabric shortage scenario, links given, options considered",detailed_question,
"Specific technique question, book/pattern named, what was done",detailed_question,
"Fabric source request, location given, brief context",detailed_question,
"Vague project framing, current skill stated",low_effort_question,Vague framing despite stating skill level
"General 'why' question on seam allowance, no personal project context",low_effort_question,"General why-question, no project context"
Specific material substitution question (cotton thread),detailed_question,
"Specific fabric amount/type, clear constraint",detailed_question,
"Beginner project, vague 'what fabric is handy'",low_effort_question,"Open-ended, no constraints"
"Fabric type ID, link given",detailed_question,
"Named pattern, specific technique question, prior research shown",detailed_question,
"Detailed troubleshooting narrative, what was tried, specific tools considered",detailed_question,
"Jersey stretch problem, general but some context (months sewing)",low_effort_question,Borderline: some context but the ask stays general
"Gift budget question, no real sewing content",low_effort_question,"No sewing specifics, pure gift-budget ask"
"Specific garment, specific care question, fabric details given",detailed_question,
"Resource request, specific need (size-inclusive) stated",detailed_question,
"Specific fabric prep question (full/boil wool), clear ask",detailed_question,
"Specific measurements given, clear sizing dilemma",detailed_question,
"General notions-sourcing question, minimal personal context",low_effort_question,"Minimal context, general sourcing"
"Detailed sleeve/armhole mismatch scenario, research already done",detailed_question,
"Specific sourcing/duties question, location given",detailed_question,
"Specific fabric/lining preference for men's pants patterns, budget context",detailed_question,
"Specific named fleece lines, project named, clear ask",detailed_question,
"Specific material (sequin fabric), what was tried (glue + sew)",detailed_question,
"Specific fabric/technique for bulky seams, current method described",detailed_question,
"Fully specified scenario, three options laid out, named pattern",detailed_question,
"Coat pattern like a photo, describes a specific feature (collar vs lapel)",detailed_question,
"Analysis paralysis on fabric/pattern pairings, describes own stash",detailed_question,
"Hem for a thick canvas runner, weighed two options already",detailed_question,
"Named felt part broke, named machine model, what they tried",detailed_question,
"Fabric cutting technique, describes current method and specific problems (table size, accuracy)",detailed_question,
"5-thread safety stitch, chainlooper thread snapping at the fabric end",detailed_question,
"Downproof high-TC fabric sourcing, describes exact qualities wanted",detailed_question,
"Canvas bag flat-felled seam, needle sizes tried, detailed troubleshooting",detailed_question,
"Gusset vs cut-on-piece functional difference, specific use case",detailed_question,
"Named pattern, layer count, specific bulk problem, photos",detailed_question,
"Replace velcro with a buckle on a named bag type, link given",detailed_question,
"Convert a woven dress pattern to knit, general question",low_effort_question,"General conversion question, no specifics"
"Named fabric blends, specific wavy-hem problem, techniques already researched",detailed_question,
"Rotary cutter veering off the line, brand-new blade ruled out",detailed_question,
"Cheap wide muslin source, gives price point and past supplier",detailed_question,
"Singer Tradition 2250 for denim tailoring, budget and use case",detailed_question,
"Replace a hoodie drawstring, links to reference images",detailed_question,
"Jean fabric tearing risk after pocket repair, describes what was done",detailed_question,
